rank,tier,verdict,pct_below_best,brand,title,ref,dealer,accessories,usd_taxfree,landed_japan,best_alt,floor_venue,us_listings,mark_usd,mark_conf,japan_url,comp_url
1,A,BUY,43.1,Omega,オメガ OMEGA コンステレーション グローブマスター アニュアルカレンダー 130.23.41.22.06.001 新品 時計 メンズ,130.23.41.22.06.001,jackroad,FULL_SET,7509,8223,14454,Chrono24,,13950,DERIVED,https://item.rakuten.co.jp/jackroad/om870/,
2,A,BUY,42.3,Rolex,ロレックス ROLEX レディ デイトジャスト 28 279173 中古 時計 レディース,279173,bettyroad,FULL_SET,10493,11490,19929,Chrono24,2,13583,VERIFIED,https://item.rakuten.co.jp/bettyroad/6333728/,https://www.chrono24.com/rolex/datejust-28mm-unworn-2026-silver-diamond-fluted-oyster-279173--id47286139.htm
3,A,BUY,42.1,Rolex,ロレックス ROLEX レディ デイトジャスト 28 279173 中古 時計 レディース,279173,jackroad,FULL_SET,10530,11530,19929,Chrono24,2,13583,VERIFIED,https://item.rakuten.co.jp/jackroad/6333728/,https://www.chrono24.com/rolex/datejust-28mm-unworn-2026-silver-diamond-fluted-oyster-279173--id47286139.htm
4,A,BUY,40.2,Omega,オメガ OMEGA シーマスター アクアテラ 220.10.34.20.09.001 中古 時計 男女兼用,220.10.34.20.09.001,bettyroad,FULL_SET,3945,4320,7226,Chrono24,,6882,DERIVED,https://item.rakuten.co.jp/bettyroad/6353832/,
5,A,BUY,40.0,Omega,オメガ OMEGA シーマスター アクアテラ 220.10.34.20.09.001 中古 時計 男女兼用,220.10.34.20.09.001,jackroad,FULL_SET,3959,4335,7226,Chrono24,,6882,DERIVED,https://item.rakuten.co.jp/jackroad/6353832/,
6,A,BUY,39.3,Grand Seiko,【中古】 【良品】 グランドセイコー クォーツ ブラック SBGP011/9F85-0AC0 ステンレススティール 【1年保証】,SBGP011,kitamura,UNKNOWN|AB_GOOD,1454,1592,2623,US grey,5,1790,VERIFIED,https://item.rakuten.co.jp/emedama/2448580014921/,
7,A,BUY,33.6,Breitling,ブライトリング BREITLING エンデュランス プロ X83310F61B1S1 新品 時計 メンズ,X83310F61B1S1,jackroad,FULL_SET,1793,1963,2956,Chrono24,,3302,DERIVED,https://item.rakuten.co.jp/jackroad/br1602/,
8,A,BUY,30.8,Rolex,【中古】 【美品】 ロレックス(ROLEX) オイスターパーペチュアル 36 ブラック 126000 ステンレス OB 【1年保証】,126000,kitamura,FULL_SET|A_EXCELLENT,7904,8655,12510,Chrono24,8,9396,VERIFIED,https://item.rakuten.co.jp/emedama/2442390052661/,https://www.chrono24.com/rolex/rolex-unworn-126000-oyster-perpetual-36mm-med-blue-index-dial-oyster-bracelet-stainless-steel--id44319787.htm
9,A,BUY,30.2,Rolex,ロレックス ROLEX デイトジャスト 31 278344RBR 中古 時計 ボーイズ,278344RBR,bettyroad,FULL_SET,11272,12343,17690,Chrono24,,14865,VERIFIED,https://item.rakuten.co.jp/bettyroad/6267948/,
10,A,BUY,30.2,Cartier,【中古】 【良品】 カルティエ パシャ シルバー WSPA0012 ステンレススティール 【1年保証】,WSPA0012,kitamura,PAPERS_ONLY|AB_GOOD,2759,3021,4325,Chrono24 US,8,3098,VERIFIED,https://item.rakuten.co.jp/emedama/2245460007628/,
