ref,mark_usd,mark_source,confidence,n_sources,spread_pct,as_of,msrp_usd
114210GR,4783.99,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
114270,6422.0,manual_check,VERIFIED,2,1.2,2026-08-09,
114300,7190.27,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
114854,877.31,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116000,6430.33,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
11610LN,10237.44,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116138,13737.5,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116139,13186.14,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116185BBRZB,45065.4,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116200,6952.0,manual_check,VERIFIED,2,10.4,2026-08-09,
116231,10814.64,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116233,10112.0,manual_check,VERIFIED,2,20.2,2026-08-09,
116233G,9825.79,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116234,9159.0,manual_check,VERIFIED,2,11.7,2026-08-09,
116234GBKHC,9831.49,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116243NGBK,16376.33,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116244,12555.0,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116261,8476.34,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116263,10726.5,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116264,7909.0,manual_check,VERIFIED,2,2.6,2026-08-09,
116300,7656.89,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
116333,11578.0,manual_check,VERIFIED,2,6.2,2026-08-09,
116334,9494.0,manual_check,VERIFIED,2,1.3,2026-08-09,
116400,8750.0,manual_check,VERIFIED,2,2.0,2026-08-09,9300.0
